"Term","Estimate","SE","Statistic","P_value","CI_lower","CI_upper","Odds_Ratio","OR_CI_lower","OR_CI_upper","Std_Estimate_y_sd","Random_Intercept_Variance","N_observations","N_unique_instances","Model_Type","Simplification","P_value_method"
"(Intercept)",-2.64045759081222,0.0612736098136101,-43.092900823769,0,-2.76055386604689,-2.52036131557754,0.0713286227650944,0.0632567229042383,0.0804305406915769,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong",2.74481839134014,0.033611765849345,81.6624274857498,0,2.67893933027543,2.81069745240486,15.5617875201654,14.5696315303546,16.6215068869954,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"reasoning_depthcot",1.26836778306697,0.0320757050663881,39.5429431852486,0,1.20549940113685,1.33123616499709,3.55504521921843,3.33842587551003,3.78572027116132,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"authoritypresent",0.402324527113546,0.0348902241620508,11.5311534040284,9.19040987332163e-31,0.333939687755926,0.470709366471165,1.4952965182068,1.39645891746353,1.60112957810646,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelmistral_it",1.49690385145777,0.0235423977768432,63.5833217009933,0,1.45076075181516,1.54304695110038,4.46783455414387,4.26635892121188,4.67882472427609,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelgemma2_it",0.315662541937031,0.0200873428609143,15.7144996290795,1.20327422198957e-55,0.276291349929639,0.355033733944423,1.3711674660273,1.31823187484781,1.4262287657919,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"modelllama31_it",0.730626793029147,0.0203444514758381,35.9128283157139,1.92652455367174e-282,0.690751668136504,0.77050191792179,2.07638166143705,1.99521470905343,2.16085055126597,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskgeometric_shapes",0.0490127674421453,0.104118235735407,0.470741432525808,0.637825392948686,-0.155058974599253,0.253084509483543,1.05023375945319,0.856364672231006,1.28799211978429,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasklogical_deduction_seven_objects",0.400902175518026,0.0987698251967445,4.05895398437174,4.92930250178866e-05,0.207313318132407,0.594491032903645,1.49317119265676,1.23036800800196,1.81210840665523,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"taskmmlu_pro",0.455921474095301,0.0824691207238272,5.52839014280378,3.23182702134876e-08,0.2942819974766,0.617560950714003,1.57762645535759,1.34216233669802,1.85439954958605,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktemporal_sequences",0.196448119363676,0.0932008240190113,2.10779380366427,0.035048829069527,0.0137745042864136,0.379121734440938,1.21707217676125,1.01386980986351,1.4610008790436,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktracking_shuffled_objects_five_objects",0.0569974581452802,0.103631096091268,0.550003428460148,0.58231702204023,-0.146119490193604,0.260114406484165,1.05865311944965,0.86405445098232,1.29707847236518,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"tasktruthfulqa",0.417556703618266,0.0794540754833588,5.25532140520244,1.47766186012651e-07,0.261826715670883,0.57328669156565,1.51824749158391,1.29930137435392,1.77408836102175,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong:reasoning_depthcot",-2.81549424901828,0.0423748040400021,-66.4426494187544,0,-2.89854886493668,-2.73243963309987,0.0598751182073044,0.0551031241421162,0.0650603724589651,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong:authoritypresent",-0.282259316209807,0.0452901595572055,-6.2322438023935,4.59801132786563e-10,-0.371028028941929,-0.193490603477684,0.754078114498395,0.690024600628277,0.824077579622097,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"reasoning_depthcot:authoritypresent",-0.267149432844408,0.0432467881867454,-6.17732423713922,6.51970921351557e-10,-0.35191313769043,-0.182385727998387,0.765558663308799,0.703341213165233,0.833279859045412,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
"consensusunanimous wrong:reasoning_depthcot:authoritypresent",0.197937492244119,0.0580447457765034,3.41008457520446,0.00064942737109536,0.0841697905221721,0.311705193966065,1.21888620159923,1.08781357856505,1.36575200174351,,1.32235289667642,117832,2223,"glmerMod","full_bobyqa_100000","lme4_wald_z"
